Location,Ground_Truth,State_List,Rank
"1,1",ID = Expr,"[1, 241]",2
"1,6",= Expr,[188],1
"1,8",NUM,[73],1
"2,1",ID = Expr,"[9, 12, 11, 10, 28, 61, 108, 127, 139, 154, 150, 147, 164, 159, 97, 241]",1
"2,9",= Expr,[188],1
"2,11",NUM,[73],1
"3,1",ID = Expr,"[9, 12, 11, 10, 28, 61, 108, 127, 139, 154, 150, 147, 164, 159, 101, 97, 241]",1
"3,6",= Expr,[188],1
"3,8",NUM,[73],1
"5,1",Stmt_token4 ID = Expr Stmt_token5 Expr CRStmtCRs Stmt_token6,"[9, 12, 11, 10, 28, 61, 108, 127, 139, 154, 150, 147, 164, 159, 101, 97, 241]",16
"5,5",ID = Expr Stmt_token5 Expr CRStmtCRs Stmt_token6,[234],1
"5,7",= Expr Stmt_token5 Expr CRStmtCRs Stmt_token6,[232],1
"5,9",NUM,[60],1
"5,11",Stmt_token5 Expr CRStmtCRs Stmt_token6,"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 258]",13
"5,14",ID,[58],2
"5,18",CR_token2,"[5, 44, 42, 48, 59, 90, 135, 169, 181, 194, 140]",11
"6,3",Stmt_token4 ID = Expr Stmt_token5 Expr CRStmtCRs Stmt_token6,"[137, 88, 189]",7
"6,7",ID = Expr Stmt_token5 Expr CRStmtCRs Stmt_token6,[267],1
"6,9",= Expr Stmt_token5 Expr CRStmtCRs Stmt_token6,[266],1
"6,11",NUM,[56],1
"6,13",Stmt_token5 Expr CRStmtCRs Stmt_token6,"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 264]",8
"6,16",ID,[83],2
"6,23",CR_token2,"[5, 44, 42, 48, 59, 90, 135, 169, 181, 194, 145]",7
"7,5",ID . ID = Expr,"[137, 88, 177]",9
"7,19",. ID = Expr,[184],4
"7,20",ID = Expr,[255],2
"7,31",= Expr,[221],2
"7,33",ID . ID ( ),[57],7
"7,47",. ID ( ),"[5, 44, 42, 48, 59, 90, 135, 169, 181, 194, 208, 226, 203]",11
"7,48",ID ( ),[260],3
"7,62",( ),"[24, 44, 42, 48, 59, 90, 135, 169, 181, 194, 208, 226, 203]",8
"7,63",),[26],5
"7,64",CR_token2,"[47, 44, 42, 48, 59, 90, 135, 169, 181, 194, 208, 226, 203]",1
"8,5",ID Idxs = Expr,"[137, 138, 96, 177]",4
"8,10",[ Expr ] Idxs,[184],6
"8,11",ID,[76],2
"8,12",] Idxs,"[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 245]",3
"8,13",[ Expr ],"[7, 263]",2
"8,14",ID,[76],2
"8,15",],"[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 245]",1
"8,17",= Expr,"[7, 45, 263]",1
"8,19",ID . ID ( Exprs ),[55],4
"8,25",. ID ( Exprs ),"[5, 44, 42, 48, 59, 90, 135, 169, 181, 194, 225, 226, 203]",3
"8,26",ID ( Exprs ),[260],1
"8,38",( Exprs ),"[24, 44, 42, 48, 59, 90, 135, 169, 181, 194, 225, 226, 203]",3
"8,39",ID,[26],1
"8,43",", MoreThanOneExpr","[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 242, 249]",1
"8,45",ID,[54],2
"8,49",),"[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 252, 242, 249]",4
"8,50",CR_token2,"[49, 44, 42, 48, 59, 90, 135, 169, 181, 194, 225, 226, 203]",1
"9,5",ID . ID ( Exprs ),"[137, 138, 89, 96, 177]",2
"9,11",. ID ( Exprs ),[184],2
"9,12",ID ( Exprs ),[255],1
"9,16",( Exprs ),[221],1
"9,17",ID Idxs,[27],4
"9,22",[ Expr ] Idxs,"[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 242, 238]",7
"9,23",ID,[76],2
"9,24",] Idxs,"[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 245]",3
"9,25",[ Expr ],"[7, 39, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 242, 238]",5
"9,26",ID,[76],2
"9,27",],"[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 245]",1
"9,28",", MoreThanOneExpr","[7, 45, 39, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 242, 238]",1
"9,30",ID,[54],2
"9,32",* UnaryExpr,"[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 252, 242, 238]",10
"9,34",ID,[156],2
"9,38",", MoreThanOneExpr","[4, 29, 31, 50, 65, 91, 128, 167, 183, 195, 217, 252, 242, 238]",1
"9,40",ID,[54],2
"9,42",* UnaryExpr,"[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 252, 242, 238]",10
"9,44",ID,[156],2
"9,48",),"[4, 29, 31, 50, 65, 91, 128, 167, 183, 195, 217, 252, 242, 238]",2
"9,49",CR_token2,"[210, 226, 203]",1
"10,3",Stmt_token6,"[137, 138, 89, 96, 177]",1
"10,9",CR_token2,"[216, 203]",1
"11,1",Stmt_token6,"[137, 138, 96, 189]",5
