Location,Ground_Truth,State_List,Coverage_Result,Rank
7,declare ( declare_directive ) _semicolon,"[82, 3155]",FOUND,1
14,( declare_directive ) _semicolon,[3358],FOUND,1
15,strict_types = literal,[2251],FOUND,1
27,= literal,[3334],FOUND,1
28,integer,[1667],FOUND,1
29,) _semicolon,"[1278, 3078, 3226]",FOUND,1
30,;,[39],FOUND,1
33,namespace namespace_name _semicolon,"[672, 675, 574, 572, 157, 3155]",FOUND,4
43,name namespace_name_repeat1,[2219],FOUND,1
47,\ name,"[2168, 2171]",FOUND,2
48,name,[3072],FOUND,1
52,\ name,"[2351, 2157, 2171]",FOUND,2
53,name,[3072],FOUND,1
60,;,"[2351, 2118, 2157, 2171]",FOUND,1
63,use namespace_use_clause _semicolon,"[573, 652, 574, 572, 2, 157, 3155]",FOUND,2
67,name namespace_name_repeat1,[1823],FOUND,1
71,\ name,"[1942, 2221, 3112]",FOUND,1
72,name,"[3290, 2691]",FOUND,1
76,\ name,"[3294, 2986, 3112, 1151, 2315, 2221]",FOUND,1
77,name,"[3290, 2691]",FOUND,1
84,\ name,"[3294, 2933, 2986, 3112, 1151, 2315, 2221]",FOUND,1
85,name,"[3290, 2691]",FOUND,1
96,;,"[3294, 2933, 2986, 3112, 1151, 2315, 2221]",FOUND,2
98,program_repeat1,"[573, 659, 574, 572, 2, 157, 3155]",FOUND,1
119,class name base_clause declaration_list,"[573, 659, 574, 572, 2, 157, 3155]",FOUND,8
125,name base_clause declaration_list,[3194],FOUND,1
135,extends _name,[1965],FOUND,1
143,name,[1799],FOUND,1
155,{ declaration_list_repeat1 },"[1772, 2244, 2262, 3243]",FOUND,2
161,public,[1617],FOUND,1
168,$ name,"[1517, 1597, 1593, 960]",FOUND,3
169,name,[3250],FOUND,1
179,;,"[872, 2123, 1863]",FOUND,1
186,public,"[573, 1760, 1757, 1755, 1614]",FOUND,1
193,function name formal_parameters compound_statement,"[1517, 1597, 1593, 960]",FOUND,2
202,name formal_parameters compound_statement,[2652],FOUND,2
213,( simple_parameter formal_parameters_repeat1 ),[2994],FOUND,3
223,string,[969],FOUND,4
230,$ name,"[1816, 1820, 1891, 2071, 1951]",FOUND,1
231,name,"[1951, 2071, 3190]",FOUND,1
236,", simple_parameter","[1951, 2071, 843, 2644, 2434]",FOUND,3
246,string,"[1951, 2071, 1008]",FOUND,2
253,$ name,"[1951, 2071, 1816, 1820, 1891]",FOUND,1
254,name,"[1951, 2071, 3190]",FOUND,1
263,", simple_parameter","[1951, 2071, 843, 2644, 2893, 2461]",FOUND,3
273,string,"[1951, 2071, 1014]",FOUND,3
280,$ name,"[1951, 2071, 1816, 1820, 1891]",FOUND,1
281,name,"[1951, 2071, 3190]",FOUND,1
289,", simple_parameter","[1951, 2071, 843, 2644, 2893, 2631, 2461]",FOUND,3
299,float,"[1951, 2071, 1014]",FOUND,15
305,$ name,"[1951, 2071, 1816, 1820, 1891]",FOUND,1
306,name,"[1951, 2071, 3190]",FOUND,1
311,", simple_parameter","[1951, 2071, 843, 2644, 2893, 2631, 2461]",FOUND,3
321,int,"[1951, 2071, 1014]",FOUND,7
325,$ name,"[1951, 2071, 1816, 1820, 1891]",FOUND,1
326,name,"[1951, 2071, 3190]",FOUND,1
341,),"[1951, 2071, 843, 2644, 2893, 2631, 2461]",FOUND,2
343,{ program_repeat1 },"[1951, 2071, 2117, 1873]",FOUND,3
353,parent,"[1951, 2071, 88]",FOUND,16
359,:: _member_name arguments,"[1951, 2071, 2556, 3132, 3271]",FOUND,2
361,name,"[1951, 2071, 1898]",FOUND,2
372,( argument arguments_repeat1 ),"[1951, 2071, 1178, 1284, 1336, 1407, 1495, 2314, 3271, 2828]",FOUND,7
386,$ name,"[1951, 2071, 191]",FOUND,1
387,name,"[1951, 2071, 2018]",FOUND,1
392,", argument","[1951, 2071, 843, 863, 841, 921, 1285, 1283, 1515, 2543, 2363, 3252, 894, 2902]",FOUND,3
406,$ name,"[1951, 2071, 207]",FOUND,1
407,name,"[1951, 2071, 2018]",FOUND,1
416,", argument","[1951, 2071, 843, 863, 841, 921, 1285, 1283, 1515, 3038, 2557, 2363, 3252, 894, 2902]",FOUND,4
430,$ name,"[1951, 2071, 211]",FOUND,1
431,name,"[1951, 2071, 2018]",FOUND,1
