Location,Ground_Truth,State_List,Coverage_Result,Rank
7,declare ( declare_directive ) _semicolon,"[82, 3155]",FOUND,1
14,( declare_directive ) _semicolon,[3358],FOUND,1
15,strict_types = literal,[2251],FOUND,1
27,= literal,[3334],FOUND,1
28,integer,[1667],FOUND,1
29,) _semicolon,"[1278, 3078, 3226]",FOUND,1
30,;,[39],FOUND,1
33,namespace namespace_name _semicolon,"[672, 675, 574, 572, 157, 3155]",FOUND,4
43,name namespace_name_repeat1,[2219],FOUND,1
47,\ name,"[2168, 2171]",FOUND,2
48,name,[3072],FOUND,1
52,\ name,"[2351, 2157, 2171]",FOUND,2
53,name,[3072],FOUND,1
60,;,"[2351, 2118, 2157, 2171]",FOUND,1
63,class name base_clause declaration_list,"[573, 652, 574, 572, 2, 157, 3155]",FOUND,8
69,name base_clause declaration_list,[3194],FOUND,1
81,extends _name,[1965],FOUND,1
89,name,[1799],FOUND,1
101,{ declaration_list_repeat1 },"[1772, 2244, 2262, 3243]",FOUND,2
107,private,[1617],FOUND,3
115,int,"[1517, 1597, 1593, 960]",FOUND,12
119,$ name,"[1816, 1820, 1791, 2655, 1951]",FOUND,1
120,name,"[1951, 2655, 3250]",FOUND,1
129,= expression,"[1951, 2655, 872, 2123, 1919]",FOUND,3
131,integer,"[1951, 2655, 426]",FOUND,5
132,;,"[1951, 2655, 1341, 1347, 1336, 1407, 1465, 1919]",FOUND,2
139,public,"[1951, 2655, 573, 1754, 1757, 1755, 1614]",FOUND,1
146,function name formal_parameters compound_statement,"[1951, 2655, 1517, 1597, 1593, 960]",FOUND,2
155,name formal_parameters compound_statement,"[1951, 2655, 2652]",FOUND,2
166,( simple_parameter formal_parameters_repeat1 ),"[1951, 2655, 2994]",FOUND,3
176,string,"[1951, 2655, 969]",FOUND,4
183,$ name,"[1951, 2655, 1816, 1820, 1891, 2071]",FOUND,1
184,name,"[1951, 2655, 2071, 3190]",FOUND,1
189,", simple_parameter","[1951, 2655, 2071, 843, 2644, 2434]",FOUND,3
199,string,"[1951, 2655, 2071, 1008]",FOUND,2
206,$ name,"[1951, 2655, 2071, 1816, 1820, 1891]",FOUND,1
207,name,"[1951, 2655, 2071, 3190]",FOUND,1
216,", simple_parameter","[1951, 2655, 2071, 843, 2644, 2893, 2461]",FOUND,3
226,string,"[1951, 2655, 2071, 1014]",FOUND,3
233,$ name,"[1951, 2655, 2071, 1816, 1820, 1891]",FOUND,1
234,name,"[1951, 2655, 2071, 3190]",FOUND,1
242,", simple_parameter","[1951, 2655, 2071, 843, 2644, 2893, 2631, 2461]",FOUND,3
252,float,"[1951, 2655, 2071, 1014]",FOUND,15
258,$ name,"[1951, 2655, 2071, 1816, 1820, 1891]",FOUND,1
259,name,"[1951, 2655, 2071, 3190]",FOUND,1
264,", simple_parameter","[1951, 2655, 2071, 843, 2644, 2893, 2631, 2461]",FOUND,3
274,int,"[1951, 2655, 2071, 1014]",FOUND,7
278,$ name,"[1951, 2655, 2071, 1816, 1820, 1891]",FOUND,1
279,name,"[1951, 2655, 2071, 3190]",FOUND,1
292,),"[1951, 2655, 2071, 843, 2644, 2893, 2631, 2461]",FOUND,2
294,{ program_repeat1 },"[1951, 2655, 2071, 2117, 1873]",FOUND,3
304,parent,"[1951, 2655, 2071, 88]",FOUND,16
310,:: _member_name arguments,"[1951, 2655, 2071, 2556, 3132, 3271]",FOUND,2
312,name,"[1951, 2655, 2071, 1898]",FOUND,2
323,( argument arguments_repeat1 ),"[1951, 2655, 2071, 1178, 1284, 1336, 1407, 1495, 2314, 3271, 2828]",FOUND,7
337,$ name,"[1951, 2655, 2071, 191]",FOUND,1
338,name,"[1951, 2655, 2071, 2018]",FOUND,1
343,", argument","[1951, 2655, 2071, 843, 863, 841, 921, 1285, 1283, 1515, 2543, 2363, 3252, 894, 2902]",FOUND,3
357,$ name,"[1951, 2655, 2071, 207]",FOUND,1
358,name,"[1951, 2655, 2071, 2018]",FOUND,1
367,", argument","[1951, 2655, 2071, 843, 863, 841, 921, 1285, 1283, 1515, 3038, 2557, 2363, 3252, 894, 2902]",FOUND,5
381,$ name,"[1951, 2655, 2071, 211]",FOUND,1
382,name,"[1951, 2655, 2071, 2018]",FOUND,1
