Location,Ground_Truth,State_List,Coverage_Result,Rank
0,import _import_list,"[1, 2695]",FOUND,2
7,identifier,[2144],FOUND,1
12,import _import_list,"[649, 69, 2695, 1923, 2099, 2509, 2460]",FOUND,9
19,identifier,[2144],FOUND,1
27,from dotted_name import _import_list,"[649, 71, 69, 2695, 1923, 2099, 2509, 2460]",FOUND,3
32,identifier,[1835],FOUND,2
41,import _import_list,"[1783, 2613]",FOUND,1
48,identifier,[1879],FOUND,1
57,from dotted_name import _import_list,"[649, 71, 69, 2695, 1923, 2099, 2534, 2460]",FOUND,3
62,identifier,[1835],FOUND,2
67,import _import_list,"[1783, 2613]",FOUND,1
74,identifier,[1879],FOUND,1
81,class identifier : _indent block,"[649, 71, 69, 2695, 1923, 2099, 2534, 2460]",FOUND,13
87,identifier : _indent block,[2668],FOUND,2
100,: _indent block,[2052],FOUND,2
106,_indent block,"[7, 133, 739, 71, 69, 2695]",FOUND,10
109,_string_content,"[7, 648, 753, 71, 69, 2695, 1696]",FOUND,1
158,string_end,"[1696, 1807, 1713]",FOUND,2
167,def identifier parameters : _indent block,"[639, 68, 1031, 961, 963, 1836, 2336]",FOUND,22
171,identifier parameters : _indent block,[2776],FOUND,2
179,( _parameters ),[2227],FOUND,1
180,identifier,[1649],FOUND,1
184,),"[2218, 2306, 2610]",FOUND,2
185,: _indent block,"[2516, 2558]",FOUND,2
195,_indent block,"[40, 651, 757, 72, 68, 119, 840]",FOUND,9
198,_string_content,"[40, 651, 757, 72, 68, 1696]",FOUND,3
245,string_end,"[1696, 1807, 1713]",FOUND,2
257,identifier,"[639, 73, 1031, 961, 963, 1836, 2336]",FOUND,4
263,. identifier,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,3
264,identifier,[2752],FOUND,1
268,( ),"[630, 650, 963, 1836, 2336, 1633]",FOUND,6
269,),[240],FOUND,3
279,identifier,"[639, 72, 73, 1076, 1101, 1085, 963, 1836, 2336]",FOUND,4
283,. identifier,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,3
284,identifier,[2752],FOUND,1
290,= _right_hand_side,"[630, 650, 963, 1836, 2336, 1633]",FOUND,2
292,identifier,[185],FOUND,1
298,. identifier,"[616, 963, 1791, 2570, 2591, 2336, 1648, 2625]",FOUND,2
299,identifier,[2752],FOUND,1
303,. identifier,"[630, 650, 963, 1791, 2570, 2591, 2336, 1648]",FOUND,2
304,identifier,[2752],FOUND,1
309,( ),"[630, 650, 963, 1791, 2570, 2591, 2336, 1648]",FOUND,5
310,),[240],FOUND,3
320,identifier,"[639, 72, 73, 1076, 1101, 1085, 963, 1791, 2570, 2591, 2336]",FOUND,4
324,. identifier,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,3
325,identifier,[2752],FOUND,1
334,= _right_hand_side,"[630, 650, 963, 1836, 2336, 1633]",FOUND,2
336,identifier,[185],FOUND,1
344,( ),"[616, 963, 1791, 2570, 2591, 2336, 1648, 2625]",FOUND,5
345,),[240],FOUND,3
356,identifier,"[639, 72, 73, 1076, 1101, 1085, 963, 1791, 2570, 2591, 2336]",FOUND,4
360,. identifier,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,3
361,identifier,[2752],FOUND,1
368,= _right_hand_side,"[630, 650, 963, 1836, 2336, 1633]",FOUND,2
370,identifier,[185],FOUND,1
376,. identifier,"[616, 963, 1791, 2570, 2591, 2336, 1648, 2625]",FOUND,2
377,identifier,[2752],FOUND,1
384,. identifier,"[630, 650, 963, 1791, 2570, 2591, 2336, 1648]",FOUND,2
385,identifier,[2752],FOUND,1
393,( expression ),"[630, 650, 963, 1791, 2570, 2591, 2336, 1648]",FOUND,3
407,( _collection_elements ),[240],FOUND,9
408,identifier,[320],FOUND,1
412,. identifier,"[1172, 959, 1679, 2670]",FOUND,1
413,identifier,[2738],FOUND,1
421,. identifier,"[1219, 1334, 959, 1679]",FOUND,1
422,identifier,[2738],FOUND,1
434,", expression","[1219, 1334, 959, 1679]",FOUND,6
436,identifier,"[338, 2715]",FOUND,2
440,. identifier,"[1218, 964, 1963, 2335, 2715, 2647]",FOUND,2
441,identifier,[2609],FOUND,1
449,. identifier,"[1298, 1367, 964, 1963, 2335, 2715]",FOUND,2
450,identifier,[2609],FOUND,1
463,),"[1298, 1367, 964, 1963, 2335, 2715]",FOUND,7
464,),"[1419, 1334, 959, 1725]",FOUND,1
474,identifier,"[639, 72, 73, 1084, 1101, 1085, 963, 1791, 2570, 2591, 2336]",FOUND,4
480,. identifier,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,3
481,identifier,[2752],FOUND,1
488,. identifier,"[630, 650, 963, 1836, 2336, 1633]",FOUND,3
489,identifier,[2752],FOUND,1
500,( expression ),"[630, 650, 963, 1836, 2336, 1633]",FOUND,4
501,string_start string_content string_end,[240],FOUND,2
502,_string_content,"[240, 1677]",FOUND,2
516,string_end,"[1677, 1807, 1678]",FOUND,2
517,),"[1807, 1678, 1182, 1012, 959, 1725]",FOUND,1
528,identifier,"[639, 72, 73, 1084, 1101, 1085, 963, 1836, 2336]",FOUND,4
532,. identifier,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,3
533,identifier,[2752],FOUND,1
538,= _right_hand_side,"[630, 650, 963, 1836, 2336, 1633]",FOUND,2
540,identifier,[185],FOUND,1
544,( expression ),"[616, 963, 1791, 2570, 2591, 2336, 1648, 2625]",FOUND,3
545,identifier,[240],FOUND,1
549,),"[1086, 959, 1725, 2670]",FOUND,1
556,def identifier parameters : _indent block,"[633, 757, 72, 68, 1084, 1101, 1085, 963, 1791, 2570, 2591, 2336, 639, 73]",FOUND,25
560,identifier parameters : _indent block,[2776],FOUND,2
568,( _parameters ),[2227],FOUND,1
569,identifier,[1649],FOUND,1
573,),"[2218, 2306, 2610]",FOUND,2
574,: _indent block,"[2516, 2558]",FOUND,2
584,_indent block,"[40, 651, 757, 72, 68, 119, 840]",FOUND,9
587,_string_content,"[40, 651, 757, 72, 68, 1696]",FOUND,3
620,string_end,"[1696, 1807, 1713]",FOUND,2
632,while expression : _indent block,"[639, 73, 1031, 961, 963, 1836, 2336]",FOUND,42
638,true,[602],FOUND,2
642,: _indent block,"[1348, 962, 2079]",FOUND,15
656,identifier,"[66, 651, 701, 72, 73, 112, 715]",FOUND,2
660,. identifier,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,3
661,identifier,[2752],FOUND,1
674,( ),"[630, 650, 963, 1836, 2336, 1633]",FOUND,6
675,),[240],FOUND,3
689,identifier,"[639, 73, 1076, 1101, 1085, 963, 1836, 2336]",FOUND,4
693,. identifier,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,3
694,identifier,[2752],FOUND,1
698,. identifier,"[630, 650, 963, 1836, 2336, 1633]",FOUND,3
699,identifier,[2752],FOUND,1
705,( ),"[630, 650, 963, 1836, 2336, 1633]",FOUND,6
706,),[240],FOUND,3
720,identifier,"[639, 72, 73, 1076, 1101, 1085, 963, 1836, 2336]",FOUND,4
724,. identifier,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,3
725,identifier,[2752],FOUND,1
739,( ),"[630, 650, 963, 1836, 2336, 1633]",FOUND,6
740,),[240],FOUND,3
