Location,Ground_Truth,State_List,Coverage_Result,Rank
0,import _import_list,"[1, 2695]",FOUND,2
7,identifier dotted_name_repeat1,[2144],FOUND,2
13,. identifier,"[1923, 2099, 2509, 2460]",FOUND,4
14,identifier,[2768],FOUND,1
22,as identifier,"[2036, 1995, 2099, 2509, 2460]",FOUND,3
25,identifier,[2763],FOUND,1
29,from dotted_name import _import_list,"[649, 69, 2695, 2383, 2141, 2509, 2460]",FOUND,3
34,identifier,[1835],FOUND,2
38,import _import_list,"[1783, 2613]",FOUND,1
45,identifier,[1879],FOUND,1
49,module_repeat1,"[649, 71, 69, 2695, 1923, 2099, 2534, 2460]",FOUND,10
76,identifier,"[1923, 2099, 2534, 2460, 649, 71, 69, 2695]",FOUND,2
82,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
84,identifier,[185],FOUND,1
87,( ),"[616, 963, 1791, 2570, 2591, 2460, 1648, 2625]",FOUND,5
88,),[240],FOUND,3
90,identifier,"[649, 71, 69, 2695, 1076, 1101, 1085, 963, 1791, 2570, 2591, 2460]",FOUND,5
96,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
98,identifier,[185],FOUND,1
101,( expression ),"[616, 963, 1791, 2570, 2591, 2460, 1648, 2625]",FOUND,2
102,integer,[240],FOUND,6
104,),"[1334, 959, 1725]",FOUND,1
106,module_repeat1,"[649, 71, 69, 2695, 1084, 1101, 1085, 963, 1791, 2570, 2591, 2460]",FOUND,16
155,identifier,"[1084, 1101, 1085, 963, 1791, 2570, 2591, 2460, 649, 71, 69, 2695]",FOUND,5
163,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
165,[ ],[185],FOUND,7
166,],[217],FOUND,1
168,for pattern in expression : _indent block,"[649, 71, 69, 2695, 631, 1085, 963, 1791, 2570, 2591, 2460, 1634, 1648]",FOUND,62
172,identifier,[795],FOUND,1
181,in expression : _indent block,"[1610, 1620, 2412]",FOUND,1
184,identifier,[474],FOUND,1
189,( expression ),"[1181, 962, 1851, 2653]",FOUND,3
190,integer,[246],FOUND,4
196,),"[1334, 959, 1686]",FOUND,4
