Location,Ground_Truth,State_List,Coverage_Result,Rank
0,import _import_list,"[1, 2695]",FOUND,2
7,identifier dotted_name_repeat1,[2144],FOUND,2
17,. identifier,"[1923, 2099, 2509, 2460]",FOUND,4
18,identifier,[2768],FOUND,1
25,as identifier,"[2036, 1995, 2099, 2509, 2460]",FOUND,3
28,identifier,[2763],FOUND,1
33,from dotted_name import _import_list,"[649, 69, 2695, 2383, 2141, 2509, 2460]",FOUND,3
38,identifier,[1835],FOUND,2
50,import _import_list,"[1783, 2613]",FOUND,1
57,identifier,[1879],FOUND,1
68,while_statement,"[649, 71, 69, 2695, 1923, 2099, 2534, 2460]",NOT_FOUND,0
128,while expression : _indent block,"[1923, 2099, 2534, 2460, 649, 71, 69, 2695]",FOUND,66
134,true,[584],FOUND,1
138,: _indent block,"[1348, 962, 2073]",FOUND,27
144,_indent block,"[5, 105, 714, 71, 69, 2695]",FOUND,59
170,identifier,"[105, 714, 71, 69, 2695, 5]",FOUND,1
173,= _right_hand_side,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,2
175,identifier,[185],FOUND,1
185,( expression ),"[616, 963, 1791, 2570, 2591, 2336, 1648, 2625]",FOUND,3
186,integer,[240],FOUND,7
192,),"[1334, 959, 1725]",FOUND,1
198,identifier,"[639, 68, 1084, 1101, 1085, 963, 1791, 2570, 2591, 2336]",FOUND,4
200,. identifier,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,3
201,identifier,[2752],FOUND,1
210,( ),"[630, 650, 963, 1836, 2336, 1633]",FOUND,6
211,),[240],FOUND,3
217,_simple_statements,"[639, 72, 68, 1076, 1101, 1085, 963, 1836, 2336]",FOUND,11
253,identifier,"[1076, 1101, 1085, 963, 1836, 2336, 639, 72, 68]",FOUND,4
256,. identifier,"[616, 963, 1836, 2336, 1633, 2625]",FOUND,3
257,identifier,[2752],FOUND,1
262,. identifier,"[630, 650, 963, 1836, 2336, 1633]",FOUND,3
263,identifier,[2752],FOUND,1
266,( expression ),"[630, 650, 963, 1836, 2336, 1633]",FOUND,4
267,string_start string_content string_end,[240],FOUND,2
268,_string_content,"[240, 1677]",FOUND,2
