Location,Ground_Truth,State_List,Coverage_Result,Rank
0,identifier,"[1, 2695]",FOUND,6
8,= _right_hand_side,"[616, 963, 1836, 2460, 1633, 2625]",FOUND,1
10,{ pair dictionary_repeat1 },[185],FOUND,18
11,string_start string_content string_end,[186],FOUND,1
12,_string_content,"[186, 1675]",FOUND,1
17,string_end,"[1675, 1807, 1698]",FOUND,2
18,: expression,"[1807, 1698, 1139, 973, 935, 1669, 2669]",FOUND,2
20,string_start string_content string_end,[487],FOUND,1
21,_string_content,"[487, 1675]",FOUND,1
26,string_end,"[1675, 1807, 1698]",FOUND,2
27,", pair","[1807, 1698, 1139, 973, 935, 1831, 1847]",FOUND,5
29,string_start string_content string_end,[344],FOUND,1
30,_string_content,"[344, 1682]",FOUND,1
35,string_end,"[1682, 1807, 1684]",FOUND,2
36,: expression,"[1807, 1684, 1277, 1017, 962, 2105]",FOUND,1
38,string_start string_content string_end,[549],FOUND,1
39,_string_content,"[549, 1701]",FOUND,1
43,string_end,"[1701, 1807, 1702]",FOUND,2
44,},"[1807, 1702, 1057, 981, 942, 1943, 2580, 2337]",FOUND,6
46,print,"[649, 69, 2695, 1094, 1085, 963, 1791, 2570, 2591, 2460]",FOUND,56
51,( expression ),"[84, 963, 1836, 2460, 1633, 2625]",FOUND,3
52,identifier,"[290, 240]",FOUND,1
59,[ expression ],"[1172, 959, 1676, 2670, 1086, 1725]",FOUND,9
60,string_start string_content string_end,[447],FOUND,3
61,_string_content,"[447, 1710]",FOUND,1
67,string_end,"[1710, 1807, 1711]",FOUND,2
68,],"[1807, 1711, 1355, 1068, 976, 1799]",FOUND,5
69,),"[1178, 1334, 959, 1676, 1725]",FOUND,1
